Achar[Uruguay]---2327,00km--->Afobaka[Suriname]
Afobaka[Suriname]---1480,64km--->Adjuntas[Puerto Rico]
Adjuntas[Puerto Rico]---49,14km--->Aguadilla[Puerto Rico]
Aguadilla[Puerto Rico]---663,83km--->Abraham's Bay[Bahamas]
Abraham's Bay[Bahamas]---616,12km--->Aberdeen[Maryland]
Aberdeen[Maryland]---629,17km--->Aiken[South Carolina]
Aiken[South Carolina]---448,70km--->Aguadulce[Panama]
Aguadulce[Panama]---960,11km--->Aguilares[El Salvador]
Aguilares[El Salvador]---72,28km--->Acajutla[El Salvador]
Acajutla[El Salvador]---2,23km--->Ahuachapan[El Salvador]
Ahuachapan[El Salvador]---427,79km--->Aitkin[Minnesota]
Aitkin[Minnesota]---346,99km--->Ada[Oklahoma]
Ada[Oklahoma]---81,63km--->Abilene[Kansas]
Abilene[Kansas]---172,48km--->Aberdeen[South Dakota]
Aberdeen[South Dakota]---161,83km--->Ainsworth[Nebraska]
Ainsworth[Nebraska]---191,35km--->Abilene[Texas]
Abilene[Texas]---295,78km--->Acapulco[Mexico]
Acapulco[Mexico]---285,51km--->Aguascalientes[Mexico]
Aguascalientes[Mexico]---1151,91km--->Afton[Wyoming]
Afton[Wyoming]---1448,83km--->Aberdeen[Washington]
Aberdeen[Washington]---7520,66km--->A'opo[Western Samoa]
A'opo[Western Samoa]---5530,21km--->Agana[Guam]
Agana[Guam]---1245,49km--->Airai[Palau]
Airai[Palau]---2438,23km--->Aberdeen[Hong Kong]
Aberdeen[Hong Kong]---2143,68km--->Aihui[China]
Aihui[China]---3897,90km--->Aizawl[Mizoram]
Aizawl[Mizoram]---161,23km--->Agartala[Tripura]
Agartala[Tripura]---1416,29km--->Adilabad[Andhra Pradesh]
Adilabad[Andhra Pradesh]---120,19km--->Achalpur[Maharashtra]
Achalpur[Maharashtra]---138,55km--->Adoni[Andhra Pradesh]
Adoni[Andhra Pradesh]---172,61km--->Adur[Kerala]
Adur[Kerala]---350,30km--->Ahmadnagar[Maharashtra]
Ahmadnagar[Maharashtra]---127,21km--->Ahwa[Gujarat]
Ahwa[Gujarat]---138,88km--->Ahmadabad[Gujarat]
Ahmadabad[Gujarat]---51,14km--->Abu Road[Rajasthan]
Abu Road[Rajasthan]---237,26km--->Abohar[Punjab]
Abohar[Punjab]---143,46km--->Achabal[Kashmir]
Achabal[Kashmir]---357,89km--->Agra[India]
Agra[India]---0,00km--->Agra[Uttar Pradesh]
Agra[Uttar Pradesh]---566,24km--->Aguada[Goa]
Aguada[Goa]---2194,89km--->Abu Dhabi[United Arab Emirates]
Abu Dhabi[United Arab Emirates]---324,71km--->Adh Dhakhirah[Qatar]
Adh Dhakhirah[Qatar]---72,64km--->Abu Samrah[Qatar]
Abu Samrah[Qatar]---67,56km--->Ad Dur[Bahrain]
Ad Dur[Bahrain]---62,56km--->Ad Dammam[Saudi Arabia]
Ad Dammam[Saudi Arabia]---351,28km--->Abadan[Iran]
Abadan[Iran]---86,01km--->Ahvaz[Iran]
Ahvaz[Iran]---423,30km--->Ad Diwaniyah[Iraq]
Ad Diwaniyah[Iraq]---488,08km--->Abu Kamal[Syria]
Abu Kamal[Syria]---641,94km--->Abastumani[Georgia (Asia)]
Abastumani[Georgia (Asia)]---295,91km--->Agstafa[Azerbaijan]
Agstafa[Azerbaijan]---188,46km--->Agdam[Azerbaijan]
Agdam[Azerbaijan]---57,94km--->Agcabadi[Azerbaijan]
Agcabadi[Azerbaijan]---110,96km--->Agsu[Azerbaijan]
Agsu[Azerbaijan]---1425,73km--->Afif[Saudi Arabia]
Afif[Saudi Arabia]---468,04km--->Abha[Saudi Arabia]
Abha[Saudi Arabia]---472,01km--->Adigrat[Ethiopia]
Adigrat[Ethiopia]---88,89km--->Adi Ugri[Eritrea]
Adi Ugri[Eritrea]---507,33km--->Addis Ababa[Ethiopia]
Addis Ababa[Ethiopia]---785,28km--->Aden[Yemen]
Aden[Yemen]---177,10km--->Ahwar[Yemen]
Ahwar[Yemen]---1729,35km--->Adilang[Uganda]
Adilang[Uganda]---1782,17km--->Abeche[Chad]
Abeche[Chad]---1467,30km--->Agadez[Niger]
Agadez[Niger]---685,19km--->Ahaggar Mountains[Algeria]
Ahaggar Mountains[Algeria]---899,65km--->Adri[Libya]
Adri[Libya]---568,62km--->Adh Dhahibat[Tunisia]
Adh Dhahibat[Tunisia]---1068,10km--->Ajdabiya[Libya]
Ajdabiya[Libya]---827,44km--->Agrinion[Greece]
Agrinion[Greece]---873,20km--->Istanbul[Turkey]

Total Calculation Back:Istanbul----- 139156,48km ------>Istanbul
Number of cities : 100
Total Running Time :146ms
