Istanbul[Turkey]---280,84km--->Afyon[Turkey]
Afyon[Turkey]---103,98km--->Aksehir[Turkey]
Aksehir[Turkey]---357,46km--->Akaki[Cyprus]
Akaki[Cyprus]---291,61km--->Al Batrun[Lebanon]
Al Batrun[Lebanon]---76,81km--->Al Judaydah[Lebanon]
Al Judaydah[Lebanon]---22,63km--->Al Hirmil[Lebanon]
Al Hirmil[Lebanon]---16,46km--->Al Labwah[Lebanon]
Al Labwah[Lebanon]---87,01km--->Al Qusayr[Syria]
Al Qusayr[Syria]---151,77km--->Al Bab[Syria]
Al Bab[Syria]---253,61km--->Adana[Turkey]
Adana[Turkey]---357,47km--->Al Qunaytirah[Syria]
Al Qunaytirah[Syria]---76,28km--->Afula[Israel]
Afula[Israel]---104,76km--->Al Mafraq[Jordan]
Al Mafraq[Jordan]---0,00km--->Al Mafraq[United Arab Emirates]
Al Mafraq[United Arab Emirates]---100,19km--->Al Qatranah[Jordan]
Al Qatranah[Jordan]---87,38km--->Al Jafr[Jordan]
Al Jafr[Jordan]---92,00km--->Al Mudawwarah[Jordan]
Al Mudawwarah[Jordan]---110,47km--->Al Aqabah[Jordan]
Al Aqabah[Jordan]---95,65km--->Al Badi[Saudi Arabia]
Al Badi[Saudi Arabia]---30,69km--->Al Maqnah[Saudi Arabia]
Al Maqnah[Saudi Arabia]---148,38km--->Al Ghurdaqah[Egypt]
Al Ghurdaqah[Egypt]---307,31km--->Al Wajh[Saudi Arabia]
Al Wajh[Saudi Arabia]---452,67km--->Al Qadimah[Saudi Arabia]
Al Qadimah[Saudi Arabia]---225,65km--->Al Lith[Saudi Arabia]
Al Lith[Saudi Arabia]---124,54km--->Al Qunfudhah[Saudi Arabia]
Al Qunfudhah[Saudi Arabia]---174,99km--->Abha[Saudi Arabia]
Abha[Saudi Arabia]---283,79km--->Al Hudaydah[Yemen]
Al Hudaydah[Yemen]---299,00km--->Aden[Yemen]
Aden[Yemen]---177,10km--->Ahwar[Yemen]
Ahwar[Yemen]---280,48km--->Al Mukalla[Yemen]
Al Mukalla[Yemen]---366,30km--->Al Ghaydah[Yemen]
Al Ghaydah[Yemen]---424,44km--->Al Ubaylah[Saudi Arabia]
Al Ubaylah[Saudi Arabia]---205,52km--->Al Kharrarah[Qatar]
Al Kharrarah[Qatar]---30,76km--->Abu Samrah[Qatar]
Abu Samrah[Qatar]---30,10km--->Al Jumayliyah[Qatar]
Al Jumayliyah[Qatar]---21,74km--->Al Ghuwayriyah[Qatar]
Al Ghuwayriyah[Qatar]---31,56km--->Al Khawr[Qatar]
Al Khawr[Qatar]---6,55km--->Adh Dhakhirah[Qatar]
Adh Dhakhirah[Qatar]---39,10km--->Al Wakrah[Qatar]
Al Wakrah[Qatar]---7,91km--->Al Wukayr[Qatar]
Al Wukayr[Qatar]---118,22km--->Ad Dur[Bahrain]
Ad Dur[Bahrain]---5,65km--->Al Askar[Bahrain]
Al Askar[Bahrain]---10,18km--->Al Amar[Bahrain]
Al Amar[Bahrain]---4,24km--->Al Mumattalah[Bahrain]
Al Mumattalah[Bahrain]---12,16km--->Al Malikiyah[Bahrain]
Al Malikiyah[Bahrain]---9,13km--->Al Budayyi[Bahrain]
Al Budayyi[Bahrain]---17,05km--->Al Muharraq[Bahrain]
Al Muharraq[Bahrain]---5,74km--->Al Hadd[Bahrain]
Al Hadd[Bahrain]---50,16km--->Al Khubar[Saudi Arabia]
Al Khubar[Saudi Arabia]---13,90km--->Ad Dammam[Saudi Arabia]
