Al Fuqaha[Libya]---346,52km--->Adri[Libya]
Adri[Libya]---315,88km--->Al Qatrun[Libya]
Al Qatrun[Libya]---832,19km--->Al Khums[Libya]
Al Khums[Libya]---402,81km--->Adh Dhahibat[Tunisia]
Adh Dhahibat[Tunisia]---309,75km--->Al Miknasi[Tunisia]
Al Miknasi[Tunisia]---108,13km--->Al Qasrayn[Tunisia]
Al Qasrayn[Tunisia]---103,50km--->Al Metlaoui[Tunisia]
Al Metlaoui[Tunisia]---279,04km--->Al Jamm[Tunisia]
Al Jamm[Tunisia]---44,63km--->Al Mahdiyah[Tunisia]
Al Mahdiyah[Tunisia]---40,58km--->Al Munastir[Tunisia]
Al Munastir[Tunisia]---62,98km--->An Nafidah[Tunisia]
An Nafidah[Tunisia]---302,28km--->Annaba[Algeria]
Annaba[Algeria]---525,01km--->Algiers[Algeria]
Algiers[Algeria]---429,56km--->Alicante[Spain]
Alicante[Spain]---276,64km--->Almeria[Spain]
Almeria[Spain]---241,39km--->Al Hoceima[Morocco]
Al Hoceima[Morocco]---485,71km--->Abadla[Algeria]
Abadla[Algeria]---440,99km--->Adrar[Algeria]
Adrar[Algeria]---929,52km--->Ahaggar Mountains[Algeria]
Ahaggar Mountains[Algeria]---685,19km--->Agadez[Niger]
Agadez[Niger]---829,30km--->Anefis[Mali]
Anefis[Mali]---264,87km--->Ansongo[Mali]
Ansongo[Mali]---958,04km--->Abomey[Benin]
Abomey[Benin]---61,85km--->Allada[Benin]
Allada[Benin]---76,93km--->Aneho[Togo]
Aneho[Togo]---216,04km--->Accra[Ghana]
Accra[Ghana]---335,45km--->Aboisso[Ivory Coast]
Aboisso[Ivory Coast]---101,26km--->Abidjan[Ivory Coast]
Abidjan[Ivory Coast]---63,86km--->Agboville[Ivory Coast]
Agboville[Ivory Coast]---44,25km--->Adzope[Ivory Coast]
Adzope[Ivory Coast]---81,69km--->Abengourou[Ivory Coast]
Abengourou[Ivory Coast]---762,00km--->Abeokuta[Nigeria]
Abeokuta[Nigeria]---481,02km--->Abuja[Nigeria]
Abuja[Nigeria]---447,21km--->Aba[Nigeria]
Aba[Nigeria]---506,37km--->Akurenan[Equatorial Guinea]
Akurenan[Equatorial Guinea]---452,71km--->Ana[Sao Tome and Principe]
Ana[Sao Tome and Principe]---808,51km--->Akieni[Gabon]
Akieni[Gabon]---1048,23km--->Alindao[Central African Republic]
Alindao[Central African Republic]---632,54km--->Am Timan[Chad]
Am Timan[Chad]---296,63km--->Abeche[Chad]
Abeche[Chad]---185,24km--->Al Junaynah[Sudan]
Al Junaynah[Sudan]---868,24km--->Al Uwaynat[Libya]
Al Uwaynat[Libya]---316,60km--->Al Jawf[Libya]
Al Jawf[Libya]---580,20km--->Al Jaghbub[Libya]
Al Jaghbub[Libya]---501,15km--->Al Qasr[Egypt]
Al Qasr[Egypt]---2,22km--->Al Bawiti[Egypt]
Al Bawiti[Egypt]---210,43km--->Al Minya[Egypt]
Al Minya[Egypt]---116,88km--->Al Fayyum[Egypt]
Al Fayyum[Egypt]---161,74km--->Al Mahallah al Kubra[Egypt]
Al Mahallah al Kubra[Egypt]---142,93km--->Alexandria[Egypt]
Alexandria[Egypt]---559,00km--->Al Kharijah[Egypt]
Al Kharijah[Egypt]---315,14km--->Abu Simbel[Egypt]
Abu Simbel[Egypt]---937,81km--->Akordat[Eritrea]
Akordat[Eritrea]---113,45km--->Adi Ugri[Eritrea]
Adi Ugri[Eritrea]---65,96km--->Aksum[Ethiopia]
Aksum[Ethiopia]---84,39km--->Adigrat[Ethiopia]
Adigrat[Ethiopia]---461,08km--->Addis Ababa[Ethiopia]
Addis Ababa[Ethiopia]---810,36km--->Adilang[Uganda]
Adilang[Uganda]---1832,01km--->Angoche[Mozambique]
Angoche[Mozambique]---844,13km--->Antsirabe[Madagascar]
Antsirabe[Madagascar]---56,04km--->Ambatolampy[Madagascar]
Ambatolampy[Madagascar]---36,32km--->Antananarivo[Madagascar]
Antananarivo[Madagascar]---124,14km--->Ambositra[Madagascar]
Ambositra[Madagascar]---170,47km--->Antsiranana[Madagascar]
Antsiranana[Madagascar]---268,95km--->Ambovombe[Madagascar]
Ambovombe[Madagascar]---223,77km--->Androka[Madagascar]
Androka[Madagascar]---734,63km--->Ambatondrazaka[Madagascar]
Ambatondrazaka[Madagascar]---224,75km--->Antsohihy[Madagascar]
Antsohihy[Madagascar]---113,77km--->Andoany[Madagascar]
Andoany[Madagascar]---247,94km--->Antalaha[Madagascar]
Antalaha[Madagascar]---892,41km--->Anse Boileau[Seychelles]
Anse Boileau[Seychelles]---4,49km--->Anse Royale[Seychelles]
Anse Royale[Seychelles]---1661,90km--->Al Huwaisah[Oman]
Al Huwaisah[Oman]---141,66km--->Al Ayn[United Arab Emirates]
Al Ayn[United Arab Emirates]---2,91km--->Al Buraymi[Oman]
Al Buraymi[Oman]---80,55km--->Ajman[United Arab Emirates]
Ajman[United Arab Emirates]---103,68km--->Al Fujayrah[United Arab Emirates]
Al Fujayrah[United Arab Emirates]---111,54km--->Al Khaburah[Oman]
Al Khaburah[Oman]---308,42km--->Abu Dhabi[United Arab Emirates]
Abu Dhabi[United Arab Emirates]---98,00km--->An Nashshash[United Arab Emirates]
An Nashshash[United Arab Emirates]---955,38km--->Al Qaysumah[Saudi Arabia]
Al Qaysumah[Saudi Arabia]---497,89km--->Afif[Saudi Arabia]
Afif[Saudi Arabia]---599,35km--->Al Jawf[Saudi Arabia]
Al Jawf[Saudi Arabia]---1021,69km--->Amasiya[Armenia]
Amasiya[Armenia]---92,96km--->Akhaltsikhe[Georgia (Asia)]
Akhaltsikhe[Georgia (Asia)]---31,05km--->Abastumani[Georgia (Asia)]
Abastumani[Georgia (Asia)]---208,80km--->Alaverdi[Armenia]
Alaverdi[Armenia]---88,96km--->Agstafa[Azerbaijan]
Agstafa[Azerbaijan]---188,46km--->Agdam[Azerbaijan]
Agdam[Azerbaijan]---57,94km--->Agcabadi[Azerbaijan]
Agcabadi[Azerbaijan]---110,96km--->Agsu[Azerbaijan]
Agsu[Azerbaijan]---62,42km--->Altyagach[Azerbaijan]
Altyagach[Azerbaijan]---75,35km--->Ali Bayramli[Azerbaijan]
Ali Bayramli[Azerbaijan]---48,74km--->Alat[Azerbaijan]
