Bor[Sudan]---310,34km--->Arua[Uganda]
Arua[Uganda]---157,53km--->Bunia[Congo (Kinshasa)]
Bunia[Congo (Kinshasa)]---302,54km--->Byumba[Rwanda]
Byumba[Rwanda]---104,44km--->Butare[Rwanda]
Butare[Rwanda]---63,60km--->Bubanza[Burundi]
Bubanza[Burundi]---26,38km--->Bujumbura[Burundi]
Bujumbura[Burundi]---63,66km--->Bururi[Burundi]
Bururi[Burundi]---125,01km--->Cankuzo[Burundi]
Cankuzo[Burundi]---104,32km--->Biharamulo[Tanzania]
Biharamulo[Tanzania]---134,21km--->Bukoba[Tanzania]
Bukoba[Tanzania]---337,43km--->Bugarama[Rwanda]
Bugarama[Rwanda]---19,21km--->Bukavu[Congo (Kinshasa)]
Bukavu[Congo (Kinshasa)]---714,15km--->Adilang[Uganda]
Adilang[Uganda]---661,40km--->Arusha[Tanzania]
Arusha[Tanzania]---176,06km--->Bura[Kenya]
Bura[Kenya]---265,97km--->Bagamoyo[Tanzania]
Bagamoyo[Tanzania]---782,28km--->Bamboa[Comoros]
Bamboa[Comoros]---93,60km--->Bandeli[Comoros]
Bandeli[Comoros]---343,49km--->Andoany[Madagascar]
Andoany[Madagascar]---113,77km--->Antsohihy[Madagascar]
Antsohihy[Madagascar]---224,75km--->Ambatondrazaka[Madagascar]
Ambatondrazaka[Madagascar]---128,84km--->Antananarivo[Madagascar]
Antananarivo[Madagascar]---36,32km--->Ambatolampy[Madagascar]
Ambatolampy[Madagascar]---56,04km--->Antsirabe[Madagascar]
Antsirabe[Madagascar]---56,27km--->Ambositra[Madagascar]
Ambositra[Madagascar]---170,47km--->Antsiranana[Madagascar]
Antsiranana[Madagascar]---194,80km--->Betroka[Madagascar]
Betroka[Madagascar]---146,54km--->Ambovombe[Madagascar]
Ambovombe[Madagascar]---220,50km--->Betioky[Madagascar]
Betioky[Madagascar]---109,93km--->Androka[Madagascar]
Androka[Madagascar]---860,45km--->Angoche[Mozambique]
Angoche[Mozambique]---502,03km--->Balaka[Malawi]
Balaka[Malawi]---92,20km--->Blantyre[Malawi]
Blantyre[Malawi]---190,13km--->Caia[Mozambique]
Caia[Mozambique]---191,39km--->Beira[Mozambique]
Beira[Mozambique]---586,07km--->Beitbridge[Zimbabwe]
Beitbridge[Zimbabwe]---255,39km--->Bulawayo[Zimbabwe]
Bulawayo[Zimbabwe]---628,69km--->Bulembu[Swaziland]
Bulembu[Swaziland]---56,58km--->Bunya[Swaziland]
Bunya[Swaziland]---104,38km--->Big Bend[Swaziland]
Big Bend[Swaziland]---452,56km--->Butha-Buthe[Lesotho]
Butha-Buthe[Lesotho]---60,07km--->Bokong[Lesotho]
Bokong[Lesotho]---253,18km--->Bloemfontein[South Africa]
Bloemfontein[South Africa]---333,97km--->Britstown[South Africa]
Britstown[South Africa]---583,42km--->Bitterfontein[South Africa]
Bitterfontein[South Africa]---305,47km--->Cape Town[South Africa]
Cape Town[South Africa]---606,09km--->Alexander Bay[South Africa]
Alexander Bay[South Africa]---1596,39km--->Caconda[Angola]
Caconda[Angola]---223,26km--->Benguela[Angola]
Benguela[Angola]---433,46km--->Caxito[Angola]
Caxito[Angola]---193,87km--->Camabatela[Angola]
Camabatela[Angola]---360,03km--->Boma[Congo (Kinshasa)]
Boma[Congo (Kinshasa)]---99,96km--->Cabinda[Angola]
Cabinda[Angola]---370,14km--->Brazzaville[Congo (Brazzaville)]
Brazzaville[Congo (Brazzaville)]---252,70km--->Bandundu[Congo (Kinshasa)]
Bandundu[Congo (Kinshasa)]---328,79km--->Boundji[Congo (Brazzaville)]
Boundji[Congo (Brazzaville)]---166,27km--->Akieni[Gabon]
Akieni[Gabon]---246,41km--->Booue[Gabon]
Booue[Gabon]---187,97km--->Belinga[Gabon]
Belinga[Gabon]---209,54km--->Bitam[Gabon]
Bitam[Gabon]---109,97km--->Akurenan[Equatorial Guinea]
Akurenan[Equatorial Guinea]---66,65km--->Ayamiken[Equatorial Guinea]
Ayamiken[Equatorial Guinea]---42,14km--->Bata[Equatorial Guinea]
Bata[Equatorial Guinea]---217,30km--->Bioko[Nigeria]
Bioko[Nigeria]---155,50km--->Bioko[Cameroon]
Bioko[Cameroon]---73,79km--->Calabar[Nigeria]
Calabar[Nigeria]---107,28km--->Aba[Nigeria]
Aba[Nigeria]---125,55km--->Awka[Nigeria]
Awka[Nigeria]---36,96km--->Asaba[Nigeria]
Asaba[Nigeria]---125,64km--->Benin City[Nigeria]
Benin City[Nigeria]---269,33km--->Abeokuta[Nigeria]
Abeokuta[Nigeria]---142,44km--->Bohicon[Benin]
Bohicon[Benin]---10,25km--->Abomey[Benin]
Abomey[Benin]---61,85km--->Allada[Benin]
Allada[Benin]---53,94km--->Athieme[Benin]
Athieme[Benin]---39,67km--->Aneho[Togo]
Aneho[Togo]---153,67km--->Atakpame[Togo]
Atakpame[Togo]---89,40km--->Blitta[Togo]
Blitta[Togo]---105,76km--->Bassar[Togo]
Bassar[Togo]---55,61km--->Bafilo[Togo]
Bafilo[Togo]---57,65km--->Bassila[Benin]
Bassila[Benin]---173,62km--->Bembereke[Benin]
Bembereke[Benin]---35,07km--->Beroubouay[Benin]
Beroubouay[Benin]---91,81km--->Banikoara[Benin]
Banikoara[Benin]---235,80km--->Birnin Kebbi[Nigeria]
Birnin Kebbi[Nigeria]---188,03km--->Birni Nkonni[Niger]
Birni Nkonni[Niger]---385,95km--->Bilma[Niger]
Bilma[Niger]---349,76km--->Agadez[Niger]
Agadez[Niger]---216,31km--->Arlit[Niger]
Arlit[Niger]---470,55km--->Ahaggar Mountains[Algeria]
Ahaggar Mountains[Algeria]---855,53km--->Anefis[Mali]
Anefis[Mali]---161,61km--->Bourem[Mali]
Bourem[Mali]---170,85km--->Ansongo[Mali]
Ansongo[Mali]---221,01km--->Aribinda[Burkina Faso]
Aribinda[Burkina Faso]---358,36km--->Boromo[Burkina Faso]
Boromo[Burkina Faso]---148,02km--->Bobo Dioulasso[Burkina Faso]
Bobo Dioulasso[Burkina Faso]---95,78km--->Banfora[Burkina Faso]
Banfora[Burkina Faso]---217,52km--->Boundiali[Ivory Coast]
Boundiali[Ivory Coast]---149,49km--->Borotou[Ivory Coast]
Borotou[Ivory Coast]---114,45km--->Biankouma[Ivory Coast]
Biankouma[Ivory Coast]---225,27km--->Bouafle[Ivory Coast]
Bouafle[Ivory Coast]---111,42km--->Bouake[Ivory Coast]
Bouake[Ivory Coast]---201,05km--->Abengourou[Ivory Coast]
Abengourou[Ivory Coast]---81,69km--->Adzope[Ivory Coast]
Adzope[Ivory Coast]---44,25km--->Agboville[Ivory Coast]
Agboville[Ivory Coast]---63,86km--->Abidjan[Ivory Coast]
Abidjan[Ivory Coast]---101,26km--->Aboisso[Ivory Coast]
Aboisso[Ivory Coast]---110,35km--->Axim[Ghana]
Axim[Ghana]---111,93km--->Cape Coast[Ghana]
Cape Coast[Ghana]---124,98km--->Accra[Ghana]
Accra[Ghana]---240,16km--->Awaso[Ghana]
Awaso[Ghana]---27,49km--->Bibiani[Ghana]
Bibiani[Ghana]---112,36km--->Berekum[Ghana]
Berekum[Ghana]---71,67km--->Bondoukou[Ivory Coast]
Bondoukou[Ivory Coast]---113,12km--->Bole[Ghana]
Bole[Ghana]---67,30km--->Bouna[Ivory Coast]
Bouna[Ivory Coast]---60,62km--->Batie[Burkina Faso]
Batie[Burkina Faso]---250,96km--->Bolgatanga[Ghana]
Bolgatanga[Ghana]---73,16km--->Bawku[Ghana]
Bawku[Ghana]---65,30km--->Bogou[Togo]
Bogou[Togo]---200,52km--->Bimbila[Ghana]
Bimbila[Ghana]---791,39km--->Abuja[Nigeria]
Abuja[Nigeria]---320,65km--->Bauchi[Nigeria]
